K,kernel,gops,ms,kept,total
1024,neon_sdot_m4,15.57,0.538769,1666,2000
1024,q_sdot_m4_se,13.55,0.619269,1607,2000
1024,q_sdot_m4,14.99,0.559462,1631,2000
256,neon_sdot_m4,16.30,0.128692,7534,8000
256,q_sdot_m4_se,10.25,0.204577,7436,8000
256,q_sdot_m4,14.48,0.144807,7607,8000
64,neon_sdot_m4,14.30,0.036654,31552,32000
64,q_sdot_m4_se,4.55,0.115347,30631,32000
64,q_sdot_m4,9.38,0.055923,30830,32000
32,neon_sdot_m4,11.77,0.022269,62331,64000
32,q_sdot_m4_se,2.60,0.100846,61396,64000
32,q_sdot_m4,6.32,0.041500,62550,64000
